Parameter Name,Index Men,Value,Transformed Value,Index Women,Value,Transformed Value,Parameter Name in Code
ump first period reg-1,0,7.3111502,1496.89786,0,7.31115015,1496.89786,alfa1,,
reg-2,1,7.0181226,1116.68818,1,7.0181226,1116.68818,alfa1,
reg-3,2,8.3074342,4053.89824,2,8.307434224,4053.89824,alfa1,
reg-4,3,8.1388640,3425.02483,3,8.138864,3425.02483,alfa1,
reg-5,4,8.1112434,3331.71798,4,8.11124336,3331.71798,alfa1,
reg-6,5,7.6175444,2033.56234,5,7.61754438,2033.56234,alfa1,
reg-7,6,8.7581111,6362.08306,6,8.758111128,6362.08306,alfa1,
moving cost,7,11.6833300,118578.44457,7,11.68333,118578.44457,alfa2,
moving cost,8,11.5544460,104239.45672,8,11.554446,104239.45672,alfa2,
moving cost,9,10.6111100,40583.22164,9,10.61111,40583.22164,alfa2,
taste - reg 2,10,8.2377644,8237.76444,10,8.237764444,8237.76444,teta0,
reg 3,11,8.7754775,8775.47755,11,8.775477547,8775.47755,teta0,
reg 4,12,-0.6877700,-687.77000,12,-0.68777,-687.77000,teta0,
reg 5,13,3.5998130,3599.81300,13,3.599813,3599.81300,teta0,
reg 6,14,-5.9699999,-5969.99990,14,-5.9699999,-5969.99990,teta0,
rep 1 - reg 2,15,-3.4476600,-3447.66000,15,-3.44766,-3447.66000,teta1,
reg 3,16,-5.1279645,-5127.96450,16,-5.1279645,-5127.96450,teta1,
reg 4,17,2.6145655,2614.56548,17,2.614565476,2614.56548,teta1,
reg 5,18,-3.1777770,-3177.77700,18,-3.177777,-3177.77700,teta1,
reg 6,19,4.9811110,4981.11100,19,4.981111,4981.11100,teta1,
rep 2 - reg 2,20,-3.3012350,-3301.23500,20,-3.301235,-3301.23500,teta2,
reg 3,21,2.2463330,2246.33300,21,2.246333,2246.33300,teta2,
reg 4,22,7.4311200,7431.12000,22,7.43112,7431.12000,teta2,
reg 5,23,5.1351120,5135.11200,23,5.135112,5135.11200,teta2,
reg 6,24,12.1367500,12136.75000,24,12.13675,12136.75000,teta2,
rep 3 - reg 2,25,-5.3613670,-5361.36700,25,-5.361367,-5361.36700,teta3,
reg 3,26,-4.8112210,-4811.22100,26,-4.811221,-4811.22100,teta3,
reg 4,27,2.3233000,2323.30000,27,2.3233,2323.30000,teta3,
reg 5,28,-1.9520000,-1952.00000,28,-1.952,-1952.00000,teta3,
reg 6,29,8.1870000,8187.00000,29,8.187,8187.00000,teta3,
rent - reg 1,30,7.0410000,7.04100,30,7.041,7.04100,gama0,
reg 2,31,6.8500000,6.85000,31,6.85,6.85000,gama0,
reg 3,32,6.8900000,6.89000,32,6.89,6.89000,gama0,
reg 4,33,6.6860000,6.68600,33,6.686,6.68600,gama0,
reg 5,34,6.4410000,6.44100,34,6.441,6.44100,gama0,
reg 6,35,6.1920000,6.19200,35,6.192,6.19200,gama0,
reg 7,36,6.8970000,6.89700,36,6.897,6.89700,gama0,
marriage,37,38.3900000,0.00384,37,38.39,0.00384,gama1,
children,38,2.2460000,0.02246,38,2.246,0.02246,gama2,
type1,39,1.7360000,0.17360,39,1.736,0.17360,gama3,
type2,40,3.8820000,0.38820,40,3.882,0.38820,gama4,
wage white,41,82.7389000,8.27389,41,82.7389,8.27389,beta20,
reg 2,42,79.5000000,7.95000,42,79.5,7.95000,beta20,
reg 3,43,82.1777430,8.21777,43,82.177743,8.21777,beta20,
reg 4,44,82.7922190,8.27922,44,82.792219,8.27922,beta20,
reg 5,45,83.2448907,8.32449,45,83.2448907,8.32449,beta20,
reg 6,46,79.9010000,7.99010,46,79.901,7.99010,beta20,
reg 7,47,80.7733329,8.07733,47,80.7733329,8.07733,beta20,
schooling<15,48,5.5649900,0.05565,48,5.56499,0.05565,beta21_1,
TODO,N/A,,,49,4.04576,,beta21_2,
schooling 16-18,49,4.0457600,0.04046,50,4.04576,0.04046,beta21_3,
exp,50,-5.3750000,-0.00538,51,-5.375,-0.00538,beta22,beta32
exp2,51,0.0000000,0.00000,52,0,0.00000,beta23,beta33
exp israel,52,3.6270000,0.03627,53,3.627,0.03627,beta24,
exp israel2,53,-0.0970000,-0.00010,54,-0.097,-0.00010,beta25,
age over 40,54,-1.1256337,-0.11256,55,-1.1256337,-0.11256,beta26,beta36
type1,55,1.2840000,0.12840,56,1.284,0.12840,beta27,
type2,56,-1.8110000,-0.18110,57,-1.811,-0.18110,beta28,
wage blue 1,57,78.0501950,7.80502,58,78.05019504,7.80502,beta30,
reg 2,58,77.6213657,7.76214,59,77.62136568,7.76214,beta30,
reg 3,59,78.3915550,7.83916,60,78.391555,7.83916,beta30,
reg 4,60,78.4133320,7.84133,61,78.413332,7.84133,beta30,
reg 5,61,78.4044370,7.84044,62,78.404437,7.84044,beta30,
reg 6,62,78.0728760,7.80729,63,78.07287601,7.80729,beta30,
reg 7,63,78.4111990,7.84112,64,78.411199,7.84112,beta30,
schooling<15,64,4.2286600,0.04229,65,4.22866,0.04229,beta31_1,
TODO,N/A,,,66,4.0674355,,beta31_2,
schooling 16-18,65,4.0674355,0.04067,67,4.0674355,0.04067,beta31_3,
exp israel,66,3.9952225,0.03995,68,3.995222455,0.03995,beta34,
exp israel2,67,-0.0001113,0.00000,69,-1.11E-04,0.00000,beta35,
type 1,68,-1.0632444,-0.10632,70,-1.063244405,-0.10632,beta37,
type 2,69,2.9220640,0.29221,71,2.922064,0.29221,beta38,
"traveling cost - tc01,tc02",70,8.8980600,7317.76330,72,8.89806,7317.76330,tc,
"tc15,tc14,tc16,tc17,tc25,tc26,tc27,tc34,tc35,tc36,tc37,yc46,tc47,tc56,tc57,tc67",71,11.3000000,80821.63754,73,11.3,80821.63754,tc,
"tc12,tc13,tc34",72,9.9000000,19930.37044,74,9.9,19930.37044,tc,
fired white-type 0,73,-5.8600000,-5.86000,75,-5.86,-5.86000,aw,
fired w+b-type 1,74,-9.2820000,-9.28200,76,-9.282,-9.28200,aw,
fired w+b-type 2,75,-4.2550000,-4.25500,77,-4.255,-4.25500,aw,
fired blue - type 0,76,-5.2290000,-5.22900,78,-5.229,-5.22900,ab,
job offer white region 1,77,-4.0015690,-4.00157,79,-4.001569,-4.00157,lamda20,
reg 2,78,-4.4335799,-4.43358,80,-4.4335799,-4.43358,lamda20,
reg 3,79,-3.8655405,-3.86554,81,-3.86554053,-3.86554,lamda20,
reg 4,80,-3.8059541,-3.80595,82,-3.805954053,-3.80595,lamda20,
reg 5,81,-4.0086652,-4.00867,83,-4.008665215,-4.00867,lamda20,
reg 6,82,-3.0132188,-3.01322,84,-3.01321882,-3.01322,lamda20,
reg 7,83,-3.5553789,-3.55538,85,-3.555378938,-3.55538,lamda20,
schooling<15,84,0.5000000,0.05000,86,0.5,0.05000,lamda21_1,
TODO,N/A,,,87,0.345,,lamda21_2,
schooling 16-18,85,0.3450000,0.03450,88,0.345,0.03450,lamda21_3,
unemp,86,1.0000000,1.00000,89,1,1.00000,lamda22,lamda32
age,87,-3.7400000,-0.03740,90,-3.74,-0.03740,lamda23,lamda33
time,88,0.2289960,0.22900,91,0.228996012,0.22900,lamda25,
time2,89,-0.0121098,-0.01211,92,-0.012109829,-0.01211,lamda26,
type 1,90,1.8002900,1.80029,93,1.80029,1.80029,lamda27,
type 2,91,1.0700000,1.07000,94,1.07,1.07000,lamda28,
first period w,92,0.0731244,0.07312,95,0.073124431,0.07312,psai_w,
first period b,93,0.0620314,0.06203,96,0.062031448,0.06203,psai_b,
job offer blue region 1,94,2.5019300,2.50193,97,2.50193,2.50193,lamda30,
reg 2,95,1.4222000,1.42220,98,1.4222,1.42220,lamda30,
reg 3,96,1.8992000,1.89920,99,1.8992,1.89920,lamda30,
reg 4,97,2.1700000,2.17000,100,2.17,2.17000,lamda30,
reg 5,98,1.8800000,1.88000,101,1.88,1.88000,lamda30,
reg 6,99,2.0660000,2.06600,102,2.066,2.06600,lamda30,
reg 7,100,3.1275500,3.12755,103,3.12754996,3.12755,lamda30,
time,101,0.0998656,0.09987,104,0.09986558,0.09987,lamda35,
time2,102,-0.0005335,-0.00053,105,-0.0005335,-0.00053,lamda36,
type 1,103,-1.3790000,-1.37900,106,-1.379,-1.37900,lamda37,
type 2,104,0.6811200,0.68112,107,0.68112,0.68112,lamda38,
type1 prob,105,1.9668560,1.96686,108,1.966856,1.96686,type1,
type 2 prob,106,1.2959910,1.29599,109,1.295991,1.29599,type2,
std measurnent error wage,107,3.6323330,0.36323,110,3.632333,0.36323,error_w,
std measurment error house,108,1.9146660,0.19147,111,1.914666,0.19147,error_h,
error_c,109,1.1638500,0.76203,112,1.16385,0.76203,error_c,
variance white,110,-1.0475550,0.35079,113,-1.047555,0.35079,sgma,
variance blue,111,-1.2061333,0.29935,114,-1.2061333,0.29935,sgma,
variance unemployment,112,7.1533320,7.15333,115,7.153332,7.15333,sgma,
punishment for miss the region or occupation in wage,113,0.0010444,1.00104,116,0.001044432,1.00104,wage_error,
AR white,114,0.5432500,0.54325,117,0.54325,0.54325,row_w,
AR blue,115,0.5611100,0.56111,118,0.56111,0.56111,row_b,
Interest Rate - Rent - area1,116,0.0535690,0.05357,119,0.05356899,0.05357,R,
Interest Rate - Rent - area2,117,0.0484440,0.04844,120,0.048444,0.04844,R,
Interest Rate - Rent - area3,118,0.0433333,0.04333,121,0.0433333,0.04333,R,
Interest Rate - Rent - area4,119,0.0644550,0.06446,122,0.064455,0.06446,R,
Interest Rate - Rent - area5,120,0.0307500,0.03075,123,0.03075,0.03075,R,
Interest Rate - Rent - area6,121,0.0246880,0.02469,124,0.024688,0.02469,R,
Interest Rate - Rent - area7,122,0.0568670,0.05687,125,0.056867,0.05687,R,
married by region - area 1,123,157.1115500,157.11155,126,157.11155,157.11155,psi1,
married by region - area 2,124,19.9332000,19.93320,127,19.9332,19.93320,psi1,
married by region  - area 3,125,-31.8340000,-31.83400,128,-31.834,-31.83400,psi1,
married by region  - area 4,126,91.2556700,91.25567,129,91.25567,91.25567,psi1,
